id,listnum,category,item,group
S107,3,animals,sheep,fakegroupA
S107,3,animals,bison,fakegroupA
S107,3,animals,greatwhiteshark,fakegroupA
S107,3,animals,skate,fakegroupA
S107,3,animals,rattlesnake,fakegroupA
S107,3,animals,frog,fakegroupA
S107,3,animals,toad,fakegroupA
S107,3,animals,flamingo,fakegroupA
S107,3,animals,robin,fakegroupA
S107,3,animals,sparrow,fakegroupA
S107,3,animals,hawk,fakegroupA
S107,3,animals,eagle,fakegroupA
S107,3,animals,stork,fakegroupA
S107,3,animals,hyena,fakegroupA
S107,3,animals,elephant,fakegroupA
S107,8,animals,bulldog,fakegroupA
S107,8,animals,tiger,fakegroupA
S107,8,animals,lion,fakegroupA
S107,8,animals,leopard,fakegroupA
S107,8,animals,jaguar,fakegroupA
S107,8,animals,cheetah,fakegroupA
S107,8,animals,rhinoceros,fakegroupA
S107,8,animals,hippopotamus,fakegroupA
S107,8,animals,hyena,fakegroupA
S107,8,animals,antelope,fakegroupA
S107,8,animals,oryx,fakegroupA
S107,8,animals,giraffe,fakegroupA
S107,8,animals,capybara,fakegroupA
S107,8,animals,mouse,fakegroupA
S107,8,animals,rat,fakegroupA
S107,8,animals,ferret,fakegroupA
S107,8,animals,panda,fakegroupA
S107,8,animals,koala,fakegroupA
S107,8,animals,orca,fakegroupA
S107,8,animals,manatee,fakegroupA
S107,8,animals,narwhal,fakegroupA
S107,8,animals,bluewhale,fakegroupA
S107,8,animals,greatwhiteshark,fakegroupA
S107,8,animals,hammerheadshark,fakegroupA
S107,8,animals,salmon,fakegroupA
S107,8,animals,tuna,fakegroupA
S107,8,animals,cod,fakegroupA
S107,8,animals,bass,fakegroupA
S107,8,animals,chicken,fakegroupA
S107,8,animals,cow,fakegroupA
S107,8,animals,horse,fakegroupA
S107,8,animals,donkey,fakegroupA
S107,8,animals,sheep,fakegroupA
S107,8,animals,robin,fakegroupA
S107,8,animals,stork,fakegroupA
S107,8,animals,pelican,fakegroupA
S107,8,animals,stingray,fakegroupA
S107,8,animals,jellyfish,fakegroupA
S107,8,animals,octopus,fakegroupA
S107,8,animals,squid,fakegroupA
S107,8,animals,bison,fakegroupA
S107,8,animals,cougar,fakegroupA
S107,8,animals,puma,fakegroupA
S107,8,animals,gorilla,fakegroupA
S107,8,animals,chimpanzee,fakegroupA
S107,8,animals,orangutan,fakegroupA
S107,8,animals,lemur,fakegroupA
S107,8,animals,fox,fakegroupA
S107,8,animals,waterbuffalo,fakegroupA
S107,8,animals,porpoise,fakegroupA
S108,1,animals,cat,fakegroupA
S108,1,animals,dog,fakegroupA
S108,1,animals,chicken,fakegroupA
S108,1,animals,pig,fakegroupA
S108,1,animals,cow,fakegroupA
S108,1,animals,sheep,fakegroupA
S108,1,animals,parrot,fakegroupA
S108,1,animals,hamster,fakegroupA
S108,1,animals,snake,fakegroupA
S108,1,animals,mouse,fakegroupA
S108,1,animals,rat,fakegroupA
S108,1,animals,emu,fakegroupA
S108,1,animals,ostrich,fakegroupA
S108,1,animals,giraffe,fakegroupA
S108,1,animals,elephant,fakegroupA
S108,1,animals,leopard,fakegroupA
S108,1,animals,lion,fakegroupA
S108,1,animals,tiger,fakegroupA
S108,1,animals,otter,fakegroupA
S108,1,animals,chipmunk,fakegroupA
S108,1,animals,gorilla,fakegroupA
S108,1,animals,ape,fakegroupA
S108,1,animals,turtle,fakegroupA
S108,1,animals,crocodile,fakegroupA
S108,1,animals,aligator,fakegroupA
S108,1,animals,bat,fakegroupA
S108,1,animals,whale,fakegroupA
S108,1,animals,doplhin,fakegroupA
S108,1,animals,orka,fakegroupA
S108,1,animals,seal,fakegroupA
S108,1,animals,bear,fakegroupA
